Id,Quartier,Latitude,Longitude,Type_chambre,Prix,Minimum_nuit,Avis_par_mois,Nombre_list_hote,Depart_Brooklyn,Depart_Manhattan,Depart_Queens,Depart_Staten Island,Depart_Bronx,Disponabilitie_365_scale,Nombre_avis_scale
16338,42,40.69,-73.96788000000001,2,55,7,0.23,2,0,1,0,0,0,2.22,0.61
16421,96,40.75979,-73.99119,2,52,30,1.65,1,0,0,1,0,0,1.45,4.29
16458,152,40.673429999999996,-73.98338000000001,1,225,3,0.16,1,0,1,0,0,0,0.0,0.09
16580,65,40.726490000000005,-73.97904,2,80,1,4.72,2,0,0,1,0,0,0.55,7.59
16595,215,40.70933,-73.96791999999999,1,275,1,1.4,1,0,1,0,0,0,2.75,3.32
16821,65,40.72298,-73.98474,2,99,1,1.26,2,0,0,1,0,0,2.55,2.38
16974,62,40.80164,-73.93921999999999,1,225,4,1.64,1,0,0,1,0,0,1.63,4.26
17037,65,40.72162,-73.98008,1,230,9,0.43,1,0,0,1,0,0,0.88,1.1
17092,96,40.76342,-73.98865,2,51,7,0.43,1,0,0,1,0,0,0.67,0.52
17693,207,40.83139,-73.94095,2,65,2,1.6,2,0,0,1,0,0,2.55,1.1
17747,42,40.68346,-73.96374,2,105,2,0.92,1,0,1,0,0,0,2.31,2.36
18127,65,40.72828,-73.98801,1,190,5,0.2,1,0,0,1,0,0,1.7,0.47
18152,202,40.76865,-73.95058,2,200,1,1.5,1,0,0,1,0,0,2.45,3.19
18198,221,40.75038,-73.90334,2,70,30,0.22,1,0,0,0,1,0,2.46,0.56
18590,81,40.6932,-73.97267,2,95,3,1.28,1,0,1,0,0,0,1.0,3.21
18728,35,40.74138,-74.00197,2,150,3,1.65,1,0,0,1,0,0,2.24,3.75
18764,215,40.71154,-73.96112,2,145,3,0.54,4,0,1,0,0,0,1.81,1.37
19159,95,40.82915,-73.95136,1,110,31,0.49,1,0,0,1,0,0,1.59,1.21
19169,120,40.718509999999995,-73.98892,1,285,5,0.62,1,0,0,1,0,0,2.49,1.57
19282,75,40.65401,-73.96323000000001,1,130,6,0.15,1,0,1,0,0,0,0.29,0.36
19319,120,40.7114,-73.98794000000001,2,94,30,0.84,1,0,0,1,0,0,1.43,2.11
19601,26,40.69723,-73.99268000000001,1,800,1,0.24,1,0,1,0,0,0,0.05,0.56
19812,215,40.71833,-73.95748,1,105,3,0.53,1,0,1,0,0,0,2.07,1.37
20299,65,40.72334,-73.9844,2,60,3,1.73,1,0,0,1,0,0,0.2,4.35
20300,65,40.72912,-73.98057,2,50,1,0.05,1,0,0,1,0,0,0.0,0.04
20611,215,40.71156,-73.96218,2,85,3,1.54,4,0,1,0,0,0,2.19,3.91
20724,29,40.70032,-73.9383,2,65,4,0.28,1,0,1,0,0,0,2.41,0.54
20734,159,40.68233,-73.97261,1,131,4,3.4,1,0,1,0,0,0,1.57,3.73
20755,42,40.68634,-73.96600000000001,2,98,7,0.2,6,0,1,0,0,0,1.41,0.36
20853,159,40.68035,-73.97162,1,250,7,0.3,1,0,1,0,0,0,1.2,0.47
20913,215,40.70984,-73.95775,1,100,5,1.57,1,0,1,0,0,0,0.0,3.77
21293,29,40.70093,-73.92609,1,105,3,1.05,2,0,1,0,0,0,0.07,2.65
21456,203,40.79764,-73.96177,1,140,3,0.71,1,0,0,1,0,0,1.5,1.82
21644,95,40.82803,-73.94731,2,89,1,0.11,1,0,0,1,0,0,2.77,0.02
21794,35,40.74008,-74.00271,2,98,30,0.27,2,0,0,1,0,0,2.77,0.67
22911,14,40.684129999999996,-73.92357,1,125,7,1.23,2,0,1,0,0,0,2.36,3.12
22918,95,40.822790000000005,-73.95139,2,60,3,0.87,3,0,0,1,0,0,1.66,0.25
23135,32,40.67967,-74.00154,1,175,2,2.09,3,0,1,0,0,0,2.6,5.23
23501,207,40.83927,-73.94281,2,65,2,0.6,1,0,0,1,0,0,2.37,1.53
23686,210,40.730959999999996,-74.00319,1,500,4,0.55,2,0,0,1,0,0,1.85,1.03
24143,215,40.71332,-73.94176999999999,2,101,3,3.02,1,0,1,0,0,0,1.15,7.52
24285,152,40.66941,-73.98109000000001,1,220,30,0.79,1,0,1,0,0,0,0.07,1.98
25235,14,40.68373,-73.92376999999999,1,125,90,1.46,2,0,1,0,0,0,1.04,3.64
25406,215,40.71459,-73.94844,1,80,30,0.4,1,0,1,0,0,0,1.69,0.65
25696,95,40.8092,-73.94421,2,100,2,1.61,1,0,0,1,0,0,2.63,3.82
26012,86,40.68157,-73.98989,1,200,30,0.2,1,0,1,0,0,0,1.58,0.43
26362,96,40.75527,-73.99291,2,59,2,3.0,2,0,0,1,0,0,2.12,7.5
26520,42,40.68698,-73.96571999999999,2,125,2,0.2,6,0,1,0,0,0,1.9,0.43
26559,65,40.7288,-73.98192,1,140,7,0.13,1,0,0,1,0,0,1.25,0.27
26785,183,40.66853,-73.98912,1,120,30,4.22,2,0,1,0,0,0,1.46,10.48
26933,65,40.7254,-73.98156999999999,1,350,2,0.06,4,0,0,1,0,0,2.26,0.16
26954,113,40.742940000000004,-73.98009,1,199,5,0.38,1,0,0,1,0,0,1.98,0.85
26969,215,40.71942,-73.95748,1,325,3,3.01,1,0,1,0,0,0,0.81,7.27
27006,203,40.77823,-73.97636999999999,1,235,6,0.27,1,0,0,1,0,0,1.51,0.61
27385,65,40.72555,-73.97965,1,225,1,1.05,4,0,0,1,0,0,2.27,2.58
27531,183,40.66831,-73.98604,2,99,2,3.2,3,0,1,0,0,0,0.15,7.95
27644,95,40.82754,-73.94919,1,170,2,2.03,1,0,0,1,0,0,2.42,4.38
27659,183,40.66499,-73.97925,1,400,2,0.24,2,0,1,0,0,0,1.64,0.36
27759,203,40.778420000000004,-73.97556,1,170,7,0.12,1,0,0,1,0,0,1.7,0.29
27883,65,40.72245,-73.98527,1,100,4,0.23,1,0,0,1,0,0,0.0,0.56
28321,160,40.65593,-73.96053,2,75,2,0.08,1,0,1,0,0,0,2.46,0.2
28396,215,40.719229999999996,-73.96468,2,90,1,0.08,1,0,1,0,0,0,1.86,0.2
28907,202,40.778,-73.94821999999999,1,150,5,0.19,1,0,0,1,0,0,1.44,0.47
29012,207,40.85879,-73.93128,2,85,15,0.33,1,0,0,1,0,0,2.33,0.81
29013,14,40.68332,-73.9547,2,70,3,0.58,2,0,1,0,0,0,2.36,1.41
29455,95,40.816179999999996,-73.94894000000001,1,120,3,1.42,3,0,0,1,0,0,1.62,3.48
29628,42,40.68414,-73.96351,2,89,3,2.35,1,0,1,0,0,0,2.11,5.84
29683,65,40.72392,-73.99143000000001,1,185,5,0.66,1,0,0,1,0,0,1.59,1.64
30031,92,40.73494,-73.9503,2,50,3,1.86,1,0,1,0,0,0,0.0,4.33
30927,120,40.713409999999996,-73.98855999999999,1,105,3,0.29,1,0,0,1,0,0,0.12,0.72
31130,96,40.767540000000004,-73.98399,2,130,2,0.45,3,0,0,1,0,0,1.78,1.12
31555,210,40.73442,-74.00303000000001,1,115,29,0.25,1,0,0,1,0,0,0.09,0.58
31902,77,40.631879999999995,-73.93248,2,77,2,0.02,1,0,1,0,0,0,1.35,0.04
31994,42,40.6873,-73.9634,2,76,2,3.89,3,0,1,0,0,0,2.09,9.56
32023,14,40.682959999999994,-73.93661999999999,1,125,3,2.09,2,0,1,0,0,0,1.24,5.1
32037,42,40.6863,-73.96765,2,135,4,0.77,3,0,1,0,0,0,2.77,1.89
32100,92,40.73409,-73.95348,1,250,29,0.03,1,0,1,0,0,0,0.26,0.07
32289,215,40.71561,-73.94835,1,199,3,0.1,1,0,1,0,0,0,2.13,0.22
32331,44,40.6857,-73.99183000000001,1,140,2,0.04,1,0,1,0,0,0,0.0,0.09
32363,78,40.74028,-73.83168,2,140,2,0.01,1,0,0,0,1,0,0.01,0.02
32965,14,40.682809999999996,-73.93524000000001,1,115,3,1.72,2,0,1,0,0,0,1.29,2.78
32969,215,40.715959999999995,-73.93938,1,160,3,0.11,1,0,1,0,0,0,1.43,0.25
33009,215,40.71492,-73.95935,1,195,4,2.19,1,0,1,0,0,0,1.63,5.39
33014,65,40.72354,-73.98295,1,195,3,0.28,1,0,0,1,0,0,1.88,0.67
33223,215,40.71165,-73.96087,2,80,3,1.86,4,0,1,0,0,0,1.99,4.49
34760,81,40.69101,-73.97312,2,44,8,1.05,5,0,1,0,0,0,2.13,0.61
35526,210,40.73474,-74.00101,2,156,4,0.74,1,0,0,1,0,0,2.33,1.77
36121,159,40.67386,-73.96641,2,85,15,0.09,1,0,1,0,0,0,2.58,0.2
36133,215,40.71536,-73.96056999999999,2,125,3,1.61,1,0,1,0,0,0,0.01,3.48
36442,159,40.6741,-73.96595,1,115,15,0.05,1,0,1,0,0,0,2.04,0.09
36647,62,40.79295,-73.93997,2,69,2,0.32,1,0,0,1,0,0,0.08,0.76
36703,210,40.73226,-74.00401,1,225,45,1.24,1,0,0,1,0,0,2.37,3.01
36934,215,40.71363,-73.96398,1,125,6,0.25,1,0,1,0,0,0,1.44,0.61
38638,202,40.77711,-73.9527,1,219,4,1.16,2,0,0,1,0,0,2.2,2.83
38663,20,40.685590000000005,-73.98094,1,475,3,0.27,1,0,1,0,0,0,1.75,0.52
39267,202,40.77456,-73.95323,1,99,1,2.6,2,0,0,1,0,0,1.25,5.25
39282,215,40.710879999999996,-73.95055,2,69,4,1.86,2,0,1,0,0,0,0.4,4.53
39593,190,40.74559,-73.92313,2,79,30,0.26,1,0,0,0,1,0,0.96,0.63
39704,14,40.68306,-73.94659,1,135,2,2.86,2,0,1,0,0,0,0.02,6.94
40039,54,40.70207,-73.98571,2,250,3,0.13,1,0,1,0,0,0,1.44,0.31
40453,202,40.76123,-73.9642,1,250,3,0.08,1,0,0,1,0,0,2.77,0.09
41348,86,40.66858,-73.99083,1,250,2,2.17,1,0,1,0,0,0,0.0,1.8
41513,95,40.827040000000004,-73.94906999999999,1,80,3,0.04,1,0,0,1,0,0,0.0,0.04
42580,42,40.68843,-73.96408000000001,2,70,2,3.47,3,0,1,0,0,0,2.55,6.6
42729,32,40.6783,-74.00135,1,165,2,1.4,3,0,1,0,0,0,2.6,3.37
42882,187,40.64524,-74.08088000000001,2,70,2,1.66,1,0,0,0,0,1,2.37,3.73
43957,29,40.70641,-73.91765,2,50,2,0.94,1,0,1,0,0,0,0.28,1.05
44096,97,40.83232,-73.93184000000001,2,40,1,2.04,3,1,0,0,0,0,2.68,4.92
44161,215,40.71045,-73.9677,1,150,2,1.78,1,0,1,0,0,0,1.34,4.33
44212,65,40.72518,-73.98034,2,125,1,0.78,4,0,0,1,0,0,2.36,1.89
44221,74,40.70666,-74.01374,1,196,3,1.06,1,0,0,1,0,0,0.0,2.56
44229,81,40.690979999999996,-73.97113,2,110,2,2.0,2,0,1,0,0,0,2.44,4.78
44288,210,40.737559999999995,-74.00405,1,170,3,0.8,1,0,0,1,0,0,1.87,1.93
44506,95,40.815259999999995,-73.94791,1,165,3,0.75,3,0,0,1,0,0,1.76,1.8
45393,210,40.73423,-74.0046,1,150,26,0.36,1,0,0,1,0,0,1.71,0.85
45542,95,40.82374,-73.9373,1,100,2,1.79,1,0,0,1,0,0,0.0,0.4
45556,81,40.688629999999996,-73.97691,2,65,2,1.92,2,0,1,0,0,0,0.0,4.62
45910,167,40.70382,-73.89797,1,350,8,0.11,5,0,0,0,1,0,2.77,0.22
45936,131,40.80549,-73.95924000000001,2,99,4,1.18,2,0,0,1,0,0,1.77,2.74
45940,215,40.71627,-73.9587,1,200,4,0.58,1,0,1,0,0,0,0.01,0.74
46544,152,40.67994,-73.97863000000001,1,150,5,0.5,1,0,1,0,0,0,0.14,1.17
46723,14,40.67992,-73.9475,2,90,3,1.17,4,0,1,0,0,0,2.61,2.83
46911,159,40.67868,-73.97306999999999,2,120,3,0.48,3,0,1,0,0,0,1.9,1.14
47199,202,40.76834,-73.95334,2,75,3,1.85,1,0,0,1,0,0,2.48,4.47
47362,14,40.68237,-73.9415,1,175,26,0.29,1,0,1,0,0,0,2.77,0.67
47370,35,40.74031,-73.99999,1,125,3,0.03,1,0,0,1,0,0,0.0,0.07
47926,96,40.76307,-73.99665,1,275,1,0.38,1,0,0,1,0,0,2.27,0.92
48719,120,40.71882,-73.98852,1,299,2,1.04,1,0,0,1,0,0,1.57,2.45
50447,183,40.6693,-73.98804,1,135,5,1.43,3,0,1,0,0,0,1.23,3.39
51438,202,40.77333,-73.95199000000001,2,130,14,0.0,2,0,0,1,0,0,0.0,0.0
51485,120,40.72319,-73.99201,2,83,1,2.69,1,0,0,1,0,0,0.05,6.4
51572,35,40.74859,-73.99671,2,123,1,3.52,1,0,0,1,0,0,2.49,8.42
51850,106,40.67252,-73.76597,2,55,2,0.49,2,0,0,0,1,0,2.77,1.17
53137,96,40.762440000000005,-73.99271,1,195,5,1.01,1,0,0,1,0,0,0.0,0.22
53196,14,40.69546,-73.93503,2,80,2,0.48,1,0,1,0,0,0,0.0,0.25
53469,126,40.717220000000005,-73.87856,1,98,30,0.31,5,0,0,0,1,0,1.82,0.74
53470,167,40.70234,-73.89816,2,140,7,0.06,5,0,0,0,1,0,2.77,0.13
53477,126,40.71546,-73.87854,1,265,7,0.38,5,0,0,0,1,0,2.77,0.85
54158,215,40.7195,-73.95976,1,249,2,3.44,2,0,1,0,0,0,1.25,8.04
54453,96,40.76548,-73.98474,3,105,6,0.09,1,0,0,1,0,0,2.76,0.22
54466,95,40.80234,-73.95603,2,200,30,0.0,1,0,0,1,0,0,2.77,0.0
54508,159,40.6787,-73.97261999999999,2,100,2,2.12,3,0,1,0,0,0,1.9,5.07
54544,95,40.81035,-73.94598,1,121,1,1.0,5,0,0,1,0,0,1.88,2.33
54626,97,40.83075,-73.93058,2,45,1,1.45,3,1,0,0,0,0,2.45,3.1
54860,62,40.79958,-73.94275,2,100,5,1.92,1,0,0,1,0,0,1.46,4.58
55467,215,40.71625,-73.93845,1,140,2,3.04,1,0,1,0,0,0,0.95,5.68
55498,14,40.6829,-73.93549,2,71,2,0.22,1,0,1,0,0,0,0.69,0.52
55668,145,40.72773,-73.99134000000001,2,130,2,1.17,1,0,0,1,0,0,0.57,2.58
55737,210,40.728609999999996,-74.0049,1,199,5,1.22,1,0,0,1,0,0,2.17,2.9
55959,215,40.709790000000005,-73.95161999999999,2,69,4,1.13,2,0,1,0,0,0,0.46,1.84
55982,81,40.68656,-73.97525,2,68,3,0.35,1,0,1,0,0,0,0.0,0.83
56467,65,40.72752,-73.98432,1,130,1,2.04,1,0,0,1,0,0,1.46,4.58
56525,92,40.729,-73.95829,1,195,2,0.65,1,0,1,0,0,0,0.44,1.55
56859,95,40.81219,-73.94499,2,64,1,1.84,5,0,0,1,0,0,1.86,4.31
57166,55,40.77185,-73.90502,1,140,2,0.16,1,0,0,0,1,0,2.22,0.38
57297,44,40.68926,-73.99386,1,159,2,2.12,1,0,1,0,0,0,2.12,4.98
57468,65,40.72821,-73.98701,1,189,3,1.96,1,0,0,1,0,0,0.0,4.6
57618,96,40.7672,-73.98508000000001,1,250,3,0.96,1,0,0,1,0,0,0.02,2.11
57740,65,40.73012,-73.99053,1,239,3,0.07,1,0,0,1,0,0,2.67,0.16
57754,76,40.7403,-73.98498000000001,1,305,2,1.09,1,0,0,1,0,0,1.53,2.42
57874,95,40.809309999999996,-73.94343,1,155,3,2.1,2,0,0,1,0,0,1.76,4.98
58059,95,40.8251,-73.94287,2,60,1,4.58,2,0,0,1,0,0,1.96,10.28
58062,217,40.6585,-73.98397,2,135,2,0.26,1,0,1,0,0,0,2.07,0.47
58467,170,40.76193,-73.9501,2,120,7,0.3,1,0,0,1,0,0,2.59,0.38
59014,120,40.72052,-73.98589,1,150,3,0.39,1,0,0,1,0,0,1.85,0.92
59121,167,40.70411,-73.89934000000001,1,140,14,0.01,5,0,0,0,1,0,2.77,0.02
59642,92,40.73401,-73.95966999999999,1,135,2,0.67,1,0,1,0,0,0,0.09,1.55
59709,36,40.71756,-73.99503,1,250,4,0.18,2,0,0,1,0,0,2.01,0.4
59855,128,40.7589,-73.96991,1,250,30,0.78,1,0,0,1,0,0,0.0,1.84
60164,179,40.72003,-74.00262,1,500,4,0.99,1,0,0,1,0,0,2.5,2.11
60457,93,40.73194,-73.99474000000001,1,225,5,0.1,1,0,0,1,0,0,0.69,0.22
60611,62,40.79163,-73.94573000000001,1,125,28,1.83,2,0,0,1,0,0,2.77,4.11
60666,95,40.8118,-73.94434,2,92,1,1.82,5,0,0,1,0,0,1.92,4.24
60673,95,40.81583,-73.94707,2,175,2,0.11,1,0,0,1,0,0,2.77,0.02
60680,65,40.72654,-73.98049,1,99,2,1.22,1,0,0,1,0,0,2.43,2.85
60794,203,40.80021,-73.96070999999999,1,195,4,0.04,1,0,0,1,0,0,0.0,0.09
60948,62,40.80942,-73.93936,1,140,3,1.3,3,0,0,1,0,0,1.46,3.03
61167,116,40.719609999999996,-73.9954,1,135,2,0.2,1,0,0,1,0,0,0.0,0.47
61224,35,40.74358,-74.00027,1,500,2,0.34,1,0,0,1,0,0,2.64,0.79
61406,95,40.80335,-73.9575,2,80,14,2.21,2,0,0,1,0,0,0.0,0.22
61492,36,40.71445,-73.9908,2,120,4,1.8,2,0,0,1,0,0,2.68,3.84
61509,128,40.757490000000004,-73.96897,1,110,200,0.9,1,0,0,1,0,0,1.06,2.07
62095,61,40.644459999999995,-73.9503,1,65,3,2.3,1,0,1,0,0,0,0.02,5.34
62427,65,40.7268,-73.99079,1,130,50,0.58,1,0,0,1,0,0,0.43,1.26
62430,29,40.688,-73.9171,1,99,3,2.13,1,0,1,0,0,0,0.52,2.49
62452,195,40.63536,-74.08537,2,36,2,1.85,6,0,0,0,0,1,2.74,4.33
62461,195,40.63627,-74.08543,2,37,2,1.44,6,0,0,0,0,1,0.0,3.3
62787,195,40.63518,-74.08546,2,37,2,1.71,6,0,0,0,0,1,2.43,3.97
62891,65,40.72477,-73.98161,1,175,3,1.78,2,0,0,1,0,0,2.48,4.15
62903,35,40.74238,-73.99566999999999,1,205,9,0.7,2,0,0,1,0,0,0.58,1.39
62925,92,40.72945,-73.95510999999999,1,285,3,1.22,3,0,1,0,0,0,2.12,2.78
63299,215,40.70763,-73.95177,2,59,2,1.77,2,0,1,0,0,0,0.11,4.06
63320,195,40.634809999999995,-74.08519,2,36,2,3.19,6,0,0,0,0,1,2.58,7.47
63360,5,40.753840000000004,-73.91433,1,99,5,4.5,1,0,0,0,1,0,1.72,9.9
63546,109,40.641059999999996,-73.97426,2,39,1,0.46,2,0,1,0,0,0,2.77,1.01
63573,152,40.66793,-73.98326999999999,2,60,14,0.09,2,0,1,0,0,0,0.0,0.2
63588,40,40.81309,-73.85514,2,90,2,0.0,7,1,0,0,0,0,2.65,0.0
63610,66,40.88057,-73.83572,1,105,2,0.5,13,1,0,0,0,0,2.77,0.85
63657,14,40.682359999999996,-73.94314,1,135,2,2.39,2,0,1,0,0,0,0.08,5.57
63693,65,40.72185,-73.98246,1,390,5,1.38,2,0,0,1,0,0,2.4,3.21
63719,14,40.68503,-73.95385,2,70,3,0.41,4,0,1,0,0,0,2.13,0.81
63913,104,40.866479999999996,-73.9263,2,75,7,0.0,2,0,0,1,0,0,2.45,0.0
64000,215,40.7069,-73.95467,2,60,17,0.14,4,0,1,0,0,0,2.75,0.31
64015,65,40.72807,-73.98594,1,200,3,0.0,1,0,0,1,0,0,0.0,0.0
64107,52,40.6778,-73.94339000000001,2,100,3,2.69,1,0,1,0,0,0,2.29,6.26
64277,14,40.683170000000004,-73.94700999999999,2,70,4,0.22,4,0,1,0,0,0,1.44,0.4
64314,52,40.6761,-73.9529,2,110,6,3.55,1,0,1,0,0,0,0.0,1.12
64365,52,40.67586,-73.95155,2,60,2,2.27,2,0,1,0,0,0,2.18,5.1
64707,116,40.71702,-73.99811,1,90,14,0.16,1,0,0,1,0,0,0.11,0.02
64837,65,40.723209999999995,-73.98156999999999,2,68,2,1.96,2,0,0,1,0,0,0.65,4.56
65019,203,40.77956,-73.98098,1,115,2,2.1,1,0,0,1,0,0,1.98,4.71
65268,14,40.682759999999995,-73.95264,2,75,5,0.67,1,0,1,0,0,0,0.52,1.44
65556,215,40.71368,-73.9626,2,60,3,0.0,1,0,1,0,0,0,0.0,0.0
65562,65,40.72956,-73.98158000000001,1,129,7,0.15,1,0,0,1,0,0,1.76,0.11
65615,215,40.71069,-73.95175,1,130,10,0.48,1,0,1,0,0,0,1.15,1.1
65660,215,40.70863,-73.94641,1,95,4,1.27,1,0,1,0,0,0,0.35,2.96
65813,95,40.82888,-73.94306999999999,2,75,3,0.26,1,0,0,1,0,0,2.77,0.45
65834,152,40.673190000000005,-73.97323,1,175,2,0.11,1,0,1,0,0,0,1.87,0.25
66008,32,40.67846,-73.99443000000001,1,190,3,0.57,1,0,1,0,0,0,2.19,1.14
66026,52,40.6715,-73.94808,2,49,21,0.15,5,0,1,0,0,0,2.51,0.34
66251,65,40.72681,-73.98534000000001,1,212,3,1.31,1,0,0,1,0,0,0.39,1.5
66275,120,40.71904,-73.99391999999999,2,95,1,1.11,3,0,0,1,0,0,2.77,2.45
66451,215,40.71031,-73.9583,1,140,2,0.11,1,0,1,0,0,0,1.93,0.2
66718,95,40.81322,-73.95306,1,135,6,1.87,1,0,0,1,0,0,1.44,4.2
66741,152,40.67732,-73.98225,1,150,2,2.08,2,0,1,0,0,0,2.0,4.8
66974,86,40.68076,-73.9896,1,190,3,0.79,2,0,1,0,0,0,1.96,1.55
67288,62,40.79603,-73.94903000000001,1,124,28,0.26,1,0,0,1,0,0,0.78,0.49
