Id,Departement,Quartier,Latitude,Longitude,Type_chambre,Prix,Minimum_nuit,Avis_par_mois,Nombre_list_hote,Disponabilitie_365_scale,Nombre_avis_scale
27006,3,203,40.77823,-73.97636999999999,1,235,6,0.27,1,1.51,0.61
27385,3,65,40.72555,-73.97965,1,225,1,1.05,4,2.27,2.58
27531,2,183,40.66831,-73.98604,2,99,2,3.2,3,0.15,7.95
27644,3,95,40.82754,-73.94919,1,170,2,2.03,1,2.42,4.38
27659,2,183,40.66499,-73.97925,1,400,2,0.24,2,1.64,0.36
27759,3,203,40.778420000000004,-73.97556,1,170,7,0.12,1,1.7,0.29
27883,3,65,40.72245,-73.98527,1,100,4,0.23,1,0.0,0.56
28321,2,160,40.65593,-73.96053,2,75,2,0.08,1,2.46,0.2
28396,2,215,40.719229999999996,-73.96468,2,90,1,0.08,1,1.86,0.2
28907,3,202,40.778,-73.94821999999999,1,150,5,0.19,1,1.44,0.47
29012,3,207,40.85879,-73.93128,2,85,15,0.33,1,2.33,0.81
29013,2,14,40.68332,-73.9547,2,70,3,0.58,2,2.36,1.41
29455,3,95,40.816179999999996,-73.94894000000001,1,120,3,1.42,3,1.62,3.48
29628,2,42,40.68414,-73.96351,2,89,3,2.35,1,2.11,5.84
29683,3,65,40.72392,-73.99143000000001,1,185,5,0.66,1,1.59,1.64
30031,2,92,40.73494,-73.9503,2,50,3,1.86,1,0.0,4.33
30927,3,120,40.713409999999996,-73.98855999999999,1,105,3,0.29,1,0.12,0.72
31130,3,96,40.767540000000004,-73.98399,2,130,2,0.45,3,1.78,1.12
31555,3,210,40.73442,-74.00303000000001,1,115,29,0.25,1,0.09,0.58
31902,2,77,40.631879999999995,-73.93248,2,77,2,0.02,1,1.35,0.04
31994,2,42,40.6873,-73.9634,2,76,2,3.89,3,2.09,9.56
32023,2,14,40.682959999999994,-73.93661999999999,1,125,3,2.09,2,1.24,5.1
32037,2,42,40.6863,-73.96765,2,135,4,0.77,3,2.77,1.89
32100,2,92,40.73409,-73.95348,1,250,29,0.03,1,0.26,0.07
32289,2,215,40.71561,-73.94835,1,199,3,0.1,1,2.13,0.22
32331,2,44,40.6857,-73.99183000000001,1,140,2,0.04,1,0.0,0.09
32363,4,78,40.74028,-73.83168,2,140,2,0.01,1,0.01,0.02
32965,2,14,40.682809999999996,-73.93524000000001,1,115,3,1.72,2,1.29,2.78
32969,2,215,40.715959999999995,-73.93938,1,160,3,0.11,1,1.43,0.25
33009,2,215,40.71492,-73.95935,1,195,4,2.19,1,1.63,5.39
33014,3,65,40.72354,-73.98295,1,195,3,0.28,1,1.88,0.67
33223,2,215,40.71165,-73.96087,2,80,3,1.86,4,1.99,4.49
34760,2,81,40.69101,-73.97312,2,44,8,1.05,5,2.13,0.61
35526,3,210,40.73474,-74.00101,2,156,4,0.74,1,2.33,1.77
36121,2,159,40.67386,-73.96641,2,85,15,0.09,1,2.58,0.2
36133,2,215,40.71536,-73.96056999999999,2,125,3,1.61,1,0.01,3.48
36442,2,159,40.6741,-73.96595,1,115,15,0.05,1,2.04,0.09
36647,3,62,40.79295,-73.93997,2,69,2,0.32,1,0.08,0.76
36703,3,210,40.73226,-74.00401,1,225,45,1.24,1,2.37,3.01
36934,2,215,40.71363,-73.96398,1,125,6,0.25,1,1.44,0.61
38638,3,202,40.77711,-73.9527,1,219,4,1.16,2,2.2,2.83
38663,2,20,40.685590000000005,-73.98094,1,475,3,0.27,1,1.75,0.52
39267,3,202,40.77456,-73.95323,1,99,1,2.6,2,1.25,5.25
39282,2,215,40.710879999999996,-73.95055,2,69,4,1.86,2,0.4,4.53
39593,4,190,40.74559,-73.92313,2,79,30,0.26,1,0.96,0.63
39704,2,14,40.68306,-73.94659,1,135,2,2.86,2,0.02,6.94
40039,2,54,40.70207,-73.98571,2,250,3,0.13,1,1.44,0.31
40453,3,202,40.76123,-73.9642,1,250,3,0.08,1,2.77,0.09
41348,2,86,40.66858,-73.99083,1,250,2,2.17,1,0.0,1.8
41513,3,95,40.827040000000004,-73.94906999999999,1,80,3,0.04,1,0.0,0.04
42580,2,42,40.68843,-73.96408000000001,2,70,2,3.47,3,2.55,6.6
42729,2,32,40.6783,-74.00135,1,165,2,1.4,3,2.6,3.37
42882,5,187,40.64524,-74.08088000000001,2,70,2,1.66,1,2.37,3.73
43957,2,29,40.70641,-73.91765,2,50,2,0.94,1,0.28,1.05
44096,1,97,40.83232,-73.93184000000001,2,40,1,2.04,3,2.68,4.92
44161,2,215,40.71045,-73.9677,1,150,2,1.78,1,1.34,4.33
44212,3,65,40.72518,-73.98034,2,125,1,0.78,4,2.36,1.89
44221,3,74,40.70666,-74.01374,1,196,3,1.06,1,0.0,2.56
44229,2,81,40.690979999999996,-73.97113,2,110,2,2.0,2,2.44,4.78
44288,3,210,40.737559999999995,-74.00405,1,170,3,0.8,1,1.87,1.93
44506,3,95,40.815259999999995,-73.94791,1,165,3,0.75,3,1.76,1.8
45393,3,210,40.73423,-74.0046,1,150,26,0.36,1,1.71,0.85
45542,3,95,40.82374,-73.9373,1,100,2,1.79,1,0.0,0.4
45556,2,81,40.688629999999996,-73.97691,2,65,2,1.92,2,0.0,4.62
45910,4,167,40.70382,-73.89797,1,350,8,0.11,5,2.77,0.22
45936,3,131,40.80549,-73.95924000000001,2,99,4,1.18,2,1.77,2.74
45940,2,215,40.71627,-73.9587,1,200,4,0.58,1,0.01,0.74
46544,2,152,40.67994,-73.97863000000001,1,150,5,0.5,1,0.14,1.17
46723,2,14,40.67992,-73.9475,2,90,3,1.17,4,2.61,2.83
46911,2,159,40.67868,-73.97306999999999,2,120,3,0.48,3,1.9,1.14
47199,3,202,40.76834,-73.95334,2,75,3,1.85,1,2.48,4.47
47362,2,14,40.68237,-73.9415,1,175,26,0.29,1,2.77,0.67
47370,3,35,40.74031,-73.99999,1,125,3,0.03,1,0.0,0.07
47926,3,96,40.76307,-73.99665,1,275,1,0.38,1,2.27,0.92
48719,3,120,40.71882,-73.98852,1,299,2,1.04,1,1.57,2.45
50447,2,183,40.6693,-73.98804,1,135,5,1.43,3,1.23,3.39
51438,3,202,40.77333,-73.95199000000001,2,130,14,0.0,2,0.0,0.0
51485,3,120,40.72319,-73.99201,2,83,1,2.69,1,0.05,6.4
51572,3,35,40.74859,-73.99671,2,123,1,3.52,1,2.49,8.42
51850,4,106,40.67252,-73.76597,2,55,2,0.49,2,2.77,1.17
53137,3,96,40.762440000000005,-73.99271,1,195,5,1.01,1,0.0,0.22
53196,2,14,40.69546,-73.93503,2,80,2,0.48,1,0.0,0.25
53469,4,126,40.717220000000005,-73.87856,1,98,30,0.31,5,1.82,0.74
53470,4,167,40.70234,-73.89816,2,140,7,0.06,5,2.77,0.13
53477,4,126,40.71546,-73.87854,1,265,7,0.38,5,2.77,0.85
54158,2,215,40.7195,-73.95976,1,249,2,3.44,2,1.25,8.04
54453,3,96,40.76548,-73.98474,3,105,6,0.09,1,2.76,0.22
54466,3,95,40.80234,-73.95603,2,200,30,0.0,1,2.77,0.0
54508,2,159,40.6787,-73.97261999999999,2,100,2,2.12,3,1.9,5.07
54544,3,95,40.81035,-73.94598,1,121,1,1.0,5,1.88,2.33
54626,1,97,40.83075,-73.93058,2,45,1,1.45,3,2.45,3.1
54860,3,62,40.79958,-73.94275,2,100,5,1.92,1,1.46,4.58
55467,2,215,40.71625,-73.93845,1,140,2,3.04,1,0.95,5.68
55498,2,14,40.6829,-73.93549,2,71,2,0.22,1,0.69,0.52
55668,3,145,40.72773,-73.99134000000001,2,130,2,1.17,1,0.57,2.58
55737,3,210,40.728609999999996,-74.0049,1,199,5,1.22,1,2.17,2.9
55959,2,215,40.709790000000005,-73.95161999999999,2,69,4,1.13,2,0.46,1.84
55982,2,81,40.68656,-73.97525,2,68,3,0.35,1,0.0,0.83
56467,3,65,40.72752,-73.98432,1,130,1,2.04,1,1.46,4.58
56525,2,92,40.729,-73.95829,1,195,2,0.65,1,0.44,1.55
56859,3,95,40.81219,-73.94499,2,64,1,1.84,5,1.86,4.31
57166,4,55,40.77185,-73.90502,1,140,2,0.16,1,2.22,0.38
57297,2,44,40.68926,-73.99386,1,159,2,2.12,1,2.12,4.98
57468,3,65,40.72821,-73.98701,1,189,3,1.96,1,0.0,4.6
57618,3,96,40.7672,-73.98508000000001,1,250,3,0.96,1,0.02,2.11
57740,3,65,40.73012,-73.99053,1,239,3,0.07,1,2.67,0.16
57754,3,76,40.7403,-73.98498000000001,1,305,2,1.09,1,1.53,2.42
57874,3,95,40.809309999999996,-73.94343,1,155,3,2.1,2,1.76,4.98
58059,3,95,40.8251,-73.94287,2,60,1,4.58,2,1.96,10.28
58062,2,217,40.6585,-73.98397,2,135,2,0.26,1,2.07,0.47
58467,3,170,40.76193,-73.9501,2,120,7,0.3,1,2.59,0.38
59014,3,120,40.72052,-73.98589,1,150,3,0.39,1,1.85,0.92
59121,4,167,40.70411,-73.89934000000001,1,140,14,0.01,5,2.77,0.02
59642,2,92,40.73401,-73.95966999999999,1,135,2,0.67,1,0.09,1.55
59709,3,36,40.71756,-73.99503,1,250,4,0.18,2,2.01,0.4
59855,3,128,40.7589,-73.96991,1,250,30,0.78,1,0.0,1.84
60164,3,179,40.72003,-74.00262,1,500,4,0.99,1,2.5,2.11
60457,3,93,40.73194,-73.99474000000001,1,225,5,0.1,1,0.69,0.22
60611,3,62,40.79163,-73.94573000000001,1,125,28,1.83,2,2.77,4.11
60666,3,95,40.8118,-73.94434,2,92,1,1.82,5,1.92,4.24
60673,3,95,40.81583,-73.94707,2,175,2,0.11,1,2.77,0.02
60680,3,65,40.72654,-73.98049,1,99,2,1.22,1,2.43,2.85
60794,3,203,40.80021,-73.96070999999999,1,195,4,0.04,1,0.0,0.09
60948,3,62,40.80942,-73.93936,1,140,3,1.3,3,1.46,3.03
61167,3,116,40.719609999999996,-73.9954,1,135,2,0.2,1,0.0,0.47
61224,3,35,40.74358,-74.00027,1,500,2,0.34,1,2.64,0.79
61406,3,95,40.80335,-73.9575,2,80,14,2.21,2,0.0,0.22
61492,3,36,40.71445,-73.9908,2,120,4,1.8,2,2.68,3.84
61509,3,128,40.757490000000004,-73.96897,1,110,200,0.9,1,1.06,2.07
62095,2,61,40.644459999999995,-73.9503,1,65,3,2.3,1,0.02,5.34
62427,3,65,40.7268,-73.99079,1,130,50,0.58,1,0.43,1.26
62430,2,29,40.688,-73.9171,1,99,3,2.13,1,0.52,2.49
62452,5,195,40.63536,-74.08537,2,36,2,1.85,6,2.74,4.33
62461,5,195,40.63627,-74.08543,2,37,2,1.44,6,0.0,3.3
62787,5,195,40.63518,-74.08546,2,37,2,1.71,6,2.43,3.97
62891,3,65,40.72477,-73.98161,1,175,3,1.78,2,2.48,4.15
62903,3,35,40.74238,-73.99566999999999,1,205,9,0.7,2,0.58,1.39
62925,2,92,40.72945,-73.95510999999999,1,285,3,1.22,3,2.12,2.78
63299,2,215,40.70763,-73.95177,2,59,2,1.77,2,0.11,4.06
63320,5,195,40.634809999999995,-74.08519,2,36,2,3.19,6,2.58,7.47
63360,4,5,40.753840000000004,-73.91433,1,99,5,4.5,1,1.72,9.9
63546,2,109,40.641059999999996,-73.97426,2,39,1,0.46,2,2.77,1.01
63573,2,152,40.66793,-73.98326999999999,2,60,14,0.09,2,0.0,0.2
63588,1,40,40.81309,-73.85514,2,90,2,0.0,7,2.65,0.0
63610,1,66,40.88057,-73.83572,1,105,2,0.5,13,2.77,0.85
63657,2,14,40.682359999999996,-73.94314,1,135,2,2.39,2,0.08,5.57
63693,3,65,40.72185,-73.98246,1,390,5,1.38,2,2.4,3.21
63719,2,14,40.68503,-73.95385,2,70,3,0.41,4,2.13,0.81
63913,3,104,40.866479999999996,-73.9263,2,75,7,0.0,2,2.45,0.0
64000,2,215,40.7069,-73.95467,2,60,17,0.14,4,2.75,0.31
64015,3,65,40.72807,-73.98594,1,200,3,0.0,1,0.0,0.0
64107,2,52,40.6778,-73.94339000000001,2,100,3,2.69,1,2.29,6.26
64277,2,14,40.683170000000004,-73.94700999999999,2,70,4,0.22,4,1.44,0.4
64314,2,52,40.6761,-73.9529,2,110,6,3.55,1,0.0,1.12
64365,2,52,40.67586,-73.95155,2,60,2,2.27,2,2.18,5.1
64707,3,116,40.71702,-73.99811,1,90,14,0.16,1,0.11,0.02
64837,3,65,40.723209999999995,-73.98156999999999,2,68,2,1.96,2,0.65,4.56
65019,3,203,40.77956,-73.98098,1,115,2,2.1,1,1.98,4.71
65268,2,14,40.682759999999995,-73.95264,2,75,5,0.67,1,0.52,1.44
65556,2,215,40.71368,-73.9626,2,60,3,0.0,1,0.0,0.0
65562,3,65,40.72956,-73.98158000000001,1,129,7,0.15,1,1.76,0.11
65615,2,215,40.71069,-73.95175,1,130,10,0.48,1,1.15,1.1
65660,2,215,40.70863,-73.94641,1,95,4,1.27,1,0.35,2.96
65813,3,95,40.82888,-73.94306999999999,2,75,3,0.26,1,2.77,0.45
65834,2,152,40.673190000000005,-73.97323,1,175,2,0.11,1,1.87,0.25
66008,2,32,40.67846,-73.99443000000001,1,190,3,0.57,1,2.19,1.14
66026,2,52,40.6715,-73.94808,2,49,21,0.15,5,2.51,0.34
66251,3,65,40.72681,-73.98534000000001,1,212,3,1.31,1,0.39,1.5
66275,3,120,40.71904,-73.99391999999999,2,95,1,1.11,3,2.77,2.45
66451,2,215,40.71031,-73.9583,1,140,2,0.11,1,1.93,0.2
66718,3,95,40.81322,-73.95306,1,135,6,1.87,1,1.44,4.2
66741,2,152,40.67732,-73.98225,1,150,2,2.08,2,2.0,4.8
66974,2,86,40.68076,-73.9896,1,190,3,0.79,2,1.96,1.55
67288,3,62,40.79603,-73.94903000000001,1,124,28,0.26,1,0.78,0.49
67299,2,215,40.71492,-73.96282,1,135,30,0.56,1,0.32,1.26
67397,3,131,40.80393,-73.95838,2,122,3,0.93,1,1.87,2.09
68099,3,203,40.80082,-73.9652,2,109,1,1.05,2,2.77,2.33
68305,3,95,40.82976,-73.94866999999999,2,85,30,0.68,1,2.42,1.44
68403,2,14,40.683,-73.91981,1,145,3,1.25,2,0.55,2.85
68735,3,203,40.78971,-73.9729,1,195,11,0.32,1,1.89,0.67
68765,2,32,40.67817,-73.99495,1,250,2,1.34,3,2.07,2.38
68900,2,92,40.731190000000005,-73.95578,2,125,3,0.1,1,2.47,0.13
68974,3,116,40.719429999999996,-73.99627,1,575,2,1.88,1,2.26,4.29
69894,3,203,40.78,-73.98249,1,150,30,0.55,1,0.27,1.08
69921,2,29,40.70514,-73.91922,2,70,5,0.49,1,1.54,1.05
70095,3,104,40.867129999999996,-73.92811,2,90,2,1.27,1,1.0,2.69
70128,3,65,40.73198,-73.98881,2,65,3,0.63,1,0.04,1.17
70609,3,65,40.72542,-73.97986,1,500,2,0.48,4,2.26,1.08
71010,3,207,40.83494,-73.93869000000001,1,250,3,0.43,2,2.1,0.72
71248,3,36,40.716590000000004,-73.98945,1,125,25,0.42,1,0.77,0.97
71366,3,210,40.729659999999996,-74.00243,1,200,30,0.44,1,1.91,0.88
71384,2,92,40.72898,-73.95551999999999,1,229,1,0.5,1,1.43,1.12
71812,1,112,40.87207,-73.90193000000001,1,90,30,0.35,2,2.63,0.09
72190,3,203,40.77728,-73.97818000000001,1,110,13,0.39,1,0.0,0.85
72265,2,92,40.726459999999996,-73.95340999999999,2,59,3,0.36,1,0.11,0.65
74073,2,215,40.71015,-73.96101,1,195,4,0.6,1,0.54,1.32
74240,2,215,40.71903,-73.9597,1,169,1,0.67,2,1.63,1.53
74333,3,62,40.80892,-73.93985,1,113,14,0.27,3,1.92,0.58
74404,3,95,40.80276,-73.9567,1,250,14,0.31,1,0.59,0.7
74680,4,5,40.77635,-73.93426,1,115,2,2.01,1,1.95,4.44
74860,2,92,40.72488,-73.95018,2,55,2,0.01,1,0.0,0.02
75193,2,215,40.71398,-73.95763000000001,2,69,2,2.17,2,0.06,4.94
75635,3,120,40.718759999999996,-73.98394,1,150,3,2.81,1,1.45,6.42
76761,2,183,40.66552,-73.99019,1,169,2,3.97,3,1.38,8.93
77765,2,92,40.73749,-73.95291999999999,2,179,3,0.36,28,0.6,0.81
77936,3,96,40.76248,-73.9913,2,150,3,0.36,1,0.37,0.81
78919,2,20,40.68674,-73.98876,1,135,4,0.1,1,0.0,0.13
79067,2,42,40.6848,-73.96219,1,350,6,0.3,1,1.19,0.31
79782,2,215,40.70516,-73.95455,2,120,14,0.76,6,2.61,1.71
80493,3,65,40.723290000000006,-73.98486,2,71,2,1.81,1,1.52,4.09
80684,2,92,40.737759999999994,-73.95326999999999,2,349,3,0.09,28,0.46,0.18
80700,2,92,40.73738,-73.95482,2,349,3,0.07,28,0.46,0.16
80924,2,152,40.67542,-73.98142,1,165,30,0.51,2,1.44,0.76
81739,2,92,40.73842,-73.95312,2,249,3,0.02,28,0.46,0.04
82549,2,26,40.6926,-73.99831999999999,2,100,3,0.68,2,0.0,1.48
82550,2,26,40.69441,-73.99771,1,200,3,0.85,2,0.81,1.8
82638,3,65,40.72399,-73.98374,1,169,4,2.4,1,2.1,5.39
82928,2,14,40.6824,-73.94615,1,185,3,1.07,1,1.88,1.03
83243,2,29,40.68949,-73.91708,1,65,2,2.27,1,1.47,5.12
83446,2,81,40.688190000000006,-73.97258000000001,1,130,35,0.05,1,1.03,0.11
83722,2,215,40.7205,-73.96015,1,199,30,0.11,1,0.23,0.18
83847,3,65,40.724509999999995,-73.98094,1,225,2,0.33,1,0.0,0.74
84010,2,92,40.73813,-73.95394,2,179,3,0.14,28,0.62,0.29
84059,2,52,40.675909999999995,-73.94715,1,150,5,0.05,1,0.0,0.11
84659,3,65,40.728429999999996,-73.98895,1,139,1,3.88,1,1.08,8.71
84905,3,199,40.712709999999994,-73.99776,2,95,3,2.22,2,0.46,5.01
85094,2,52,40.66966,-73.94735,1,79,15,0.11,5,1.36,0.25
86215,3,120,40.71965,-73.98765999999999,1,150,2,1.51,2,0.4,3.39
89427,2,42,40.68613,-73.96536,1,650,5,0.0,3,2.77,0.0
89621,2,14,40.680479999999996,-73.94911,1,90,3,2.26,4,2.46,4.89
93313,2,14,40.68314,-73.93963000000001,1,120,2,0.76,2,1.8,1.68
94035,4,5,40.759609999999995,-73.91117,2,80,1,1.21,2,2.77,0.94
94209,2,52,40.67473,-73.94494,1,100,90,0.0,1,2.77,0.0
94477,2,14,40.69305,-73.93185,1,175,2,3.74,1,1.55,8.31
94783,2,52,40.67174,-73.95663,1,120,5,1.04,1,2.07,2.33
